DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	2	-0.138409	-0.135513	aq(0.3, aq(x[13], sub(0.7, add(x[4], sub(add(mul(mul(mul(0.9, sub(1.0, 0.8)), aq(0.5, x[26])), mul(0.8, 0.3)), x[53]), add(x[31], 0.2))))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	20	-0.140081	-0.136913	aq(0.3, aq(x[13], aq(x[43], aq(0.0, add(add(x[32], add(aq(0.9, mul(add(x[6], sub(aq(aq(add(0.8, mul(sub(x[21], aq(aq(add(add(0.5, aq(x[11], 0.0)), add(sub(1.0, x[16]), x[33])), 1.0), mul(0.9, add(aq(0.8, x[34]), sub(x[26], x[16]))))), sub(sub(x[12], 1.0), x[51]))), add(0.3, x[22])), x[14]), 0.0)), aq(0.1, x[29]))), 0.1)), x[7])))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	21	-0.136316	-0.134641	aq(0.3, aq(aq(x[5], x[30]), mul(mul(mul(sub(x[7], x[29]), add(sub(add(sub(add(aq(add(1.0, sub(mul(mul(sub(x[23], sub(0.9, sub(x[25], aq(x[56], 0.6)))), 0.6), aq(x[30], 0.9)), mul(x[37], mul(add(0.4, x[25]), mul(0.9, 1.0))))), sub(x[20], sub(mul(mul(x[28], 1.0), sub(1.0, x[33])), sub(x[52], x[49])))), x[24]), aq(1.0, 0.1)), 0.8), sub(0.9, x[27])), x[24])), 0.1), x[30])))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	22	-0.141466	-0.138640	aq(0.3, x[13])
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	23	-0.143340	-0.138803	aq(0.3, aq(0.4, mul(x[26], aq(x[30], aq(0.3, sub(mul(mul(add(mul(sub(0.5, x[6]), mul(0.3, 0.5)), 0.7), mul(0.2, add(aq(add(0.8, aq(x[20], aq(aq(x[39], 0.9), 0.2))), aq(0.9, 0.8)), mul(aq(sub(x[56], add(add(x[8], x[29]), add(aq(0.2, mul(add(add(x[24], 0.6), add(0.0, 0.0)), mul(x[51], 0.0))), x[29]))), x[12]), 0.1)))), x[55]), x[23]))))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	24	-0.140076	-0.136913	aq(0.3, aq(x[13], aq(x[43], sub(mul(0.0, 0.1), mul(sub(0.4, 0.2), aq(x[4], x[39]))))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	25	-0.143303	-0.138790	aq(0.3, aq(aq(0.4, x[30]), mul(1.0, mul(aq(mul(mul(aq(add(mul(add(x[42], sub(mul(x[22], aq(sub(0.4, 1.0), x[32])), x[20])), mul(0.0, sub(0.8, add(aq(0.7, 0.1), sub(sub(add(mul(x[11], x[43]), x[19]), 0.4), x[2]))))), x[53]), x[17]), 0.3), x[36]), x[29]), mul(0.3, mul(sub(mul(0.9, 0.9), add(0.5, add(aq(x[17], 0.3), 0.1))), mul(sub(x[44], 0.0), aq(sub(0.7, 0.0), mul(0.3, 0.3)))))))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	26	-0.143179	-0.138604	aq(0.3, aq(0.4, mul(x[31], mul(sub(0.3, add(sub(add(x[26], mul(x[26], aq(add(x[19], x[21]), 0.0))), aq(0.0, mul(add(aq(x[25], 0.6), 0.6), add(x[17], x[23])))), add(x[0], 0.8))), 1.0))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	27	-0.142992	-0.138907	aq(0.3, aq(0.5, sub(x[30], mul(sub(mul(0.0, add(x[17], add(sub(mul(aq(x[33], mul(sub(1.0, x[29]), add(mul(add(mul(0.4, x[9]), x[21]), 0.4), aq(x[45], sub(0.5, x[17]))))), sub(0.7, 0.5)), add(add(x[13], aq(0.2, x[18])), 0.9)), mul(mul(x[22], 1.0), 0.0)))), 0.3), 0.8))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	28	-0.137021	-0.135209	aq(0.3, aq(x[5], aq(x[28], aq(0.0, add(0.9, mul(0.0, sub(0.4, add(aq(aq(x[18], 0.9), x[27]), mul(aq(add(mul(mul(x[40], add(sub(0.3, 0.3), x[55])), add(add(add(sub(x[24], sub(x[23], 0.3)), sub(0.6, 0.8)), mul(aq(0.1, 0.2), add(0.9, 0.6))), add(0.3, add(0.1, x[23])))), x[42]), 0.0), aq(x[29], x[26]))))))))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	29	-0.143345	-0.138677	aq(0.3, aq(add(0.4, mul(x[35], 0.3)), mul(sub(0.6, add(mul(add(mul(add(mul(add(mul(0.9, 0.3), add(0.1, aq(0.4, aq(sub(x[35], 1.0), mul(sub(x[35], 0.3), add(aq(aq(x[12], 0.0), 0.1), 0.1)))))), aq(x[1], 1.0)), x[23]), add(add(x[33], 0.5), 0.3)), mul(aq(x[22], x[29]), aq(x[43], x[44]))), 0.3), 1.0)), aq(add(mul(0.8, x[31]), add(x[33], x[13])), add(0.2, x[12])))))
DowNorm	sr.bnf	EA	GE_randsol_sr_nobnf	0	20000	3	-0.142964	-0.138387	aq(0.3, aq(aq(0.4, x[48]), sub(add(mul(aq(mul(sub(sub(x[39], mul(aq(0.7, x[25]), 0.1)), sub(x[13], aq(0.3, 0.9))), x[37]), sub(0.2, aq(0.8, aq(sub(sub(sub(mul(0.4, 0.6), x[50]), 0.0), 0.2), mul(x[30], mul(add(0.6, aq(x[38], x[23])), aq(0.8, x[24]))))))), x[42]), x[51]), sub(mul(x[29], x[2]), sub(0.6, 0.7)))))
